"lengthdata","weightdata","weight","length","year","month_num","day","nation","gear","port","lat","lon","newlat","newlon"
NA,NA,NA,NA,1937,NA,NA,"Italy",NA,NA,42.77,10.09,42.77,10.09
"558.4",1900,"1800 Storai.etal.2005 , deMaddalena.Heim.2012, 2000 Mojetta.etal.1997","597 (photo), 555-589 (weight) Storai.etal.2005, Ca.600 (613) TOT deMaddalena.Heim.2012 562.4 TL (estimate), 600-500 Mojetta.etal.1997, 510+ Fegusson.solo.1996",1938,8,28,"Italy","tuna trap",NA,42.83,10.26,42.83,10.26
NA,NA,NA,NA,1938,9,8,"Croatia",NA,NA,45.17,14.69,45.17,14.69
NA,800,"800",NA,1938,8,29,"Italy","tuna trap",NA,42.83,10.26,42.83,10.26
"500",NA,NA,"Ca. 500",1938,8,24,"Slovenia",NA,NA,45.55,13.72,45.55,13.72
NA,NA,NA,NA,1938,NA,NA,"Italy",NA,NA,40.64,11.5,40.64,11.5
NA,3000,"ca.3000",NA,1939,NA,NA,"Turkey","handline",NA,40.85,29.13,40.85,29.13
"800",NA,NA,"800",1940,NA,NA,"France",NA,NA,43.53,4.12,43.53,4.12
NA,NA,NA,NA,1940,NA,NA,"Slovenia",NA,NA,45.55,13.72,45.55,13.72
NA,NA,NA,NA,1940,NA,NA,"Italy","tuna trap",NA,42.78,10.19,42.78,10.19
"600",2000,"2000","600 ca.",1941,8,NA,"Spain",NA,NA,39.89,3.2,39.89,3.2
